"","Date","Open","High","Low","Close","Volume"
"149","1937-12-31",17.15,18.8,10.09,10.55,NA
"150","1938-12-30",10.55,13.82,8.37,13.21,NA
"151","1939-12-29",13.18,13.34,10.1,12.49,NA
"152","1940-12-31",12.55,12.81,8.86,10.58,NA
"153","1941-12-31",10.52,10.92,8.28,8.69,NA
"154","1942-12-31",8.75,9.84,7.45,9.77,NA
"155","1943-12-31",9.81,12.7,9.81,11.67,NA
"156","1944-12-29",11.66,13.33,11.55,13.28,NA
"157","1945-12-31",13.3,17.77,13.17,17.36,NA
"158","1946-12-31",17.34,19.33,14,15.3,NA
"159","1947-12-31",15.27,16.23,13.58,15.3,NA
"160","1948-12-31",15.36,17.12,13.74,15.2,NA
"161","1949-12-30",15.12,16.82,13.5,16.76,NA
"162","1950-12-29",16.66,20.43,16.65,20.41,626156625
"163","1951-12-31",20.77,23.85,20.69,23.77,543019043
"164","1952-12-31",23.8,26.59,23.09,26.57,394139290
"165","1953-12-31",26.54,26.66,22.71,24.81,394111107
"166","1954-12-31",24.95,35.98,24.8,35.98,635533331
"167","1955-12-30",36.75,46.41,34.58,45.48,720499993
"168","1956-12-31",45.16,49.64,43.11,46.67,617588888
"169","1957-12-31",46.2,49.13,38.98,39.99,620800005
"170","1958-12-31",40.33,55.21,40.33,55.21,829622226
"171","1959-12-31",55.44,60.71,53.58,59.89,911166666
"172","1960-12-30",59.91,60.39,52.2,58.11,851600001
"173","1961-12-29",57.57,72.64,57.57,71.55,1130955549
"174","1962-12-31",71.55,71.96,51.35,63.1,1072022223
"175","1963-12-31",63.1,75.36,62.32,75.02,1274866660
"176","1964-12-31",75.02,86.8,74.82,84.75,1373466659
"177","1965-12-31",84.75,93.3,80.73,92.43,1728177771
"178","1966-12-30",92.43,94.72,72.28,80.33,2108100001
"179","1967-12-29",80.33,98.31,79.43,96.47,2809799999
"180","1968-12-31",96.47,109.37,86.73,103.86,3256333333
"181","1969-12-31",103.86,106.74,88.04,92.06,3163311106
"182","1970-12-31",92.06,94.25,68.61,92.15,3274144449
"183","1971-12-31",92.15,105.6,89.34,102.09,4327488891
"184","1972-12-29",102.09,119.79,100.87,118.05,4597077777
"185","1973-12-31",118.06,121.74,91.05,97.55,4508644442
"186","1974-12-31",97.55,101.05,60.96,68.56,3908444450
"187","1975-12-31",68.65,96.58,68.65,90.19,5219144446
"188","1976-12-31",90.19,108.72,89.81,107.46,5954566666
"189","1977-12-30",107.46,107.97,90.01,95.1,5864111117
"190","1978-12-29",95.1,108.05,86.45,96.11,8000088890
"191","1979-12-31",96.11,112.16,95.22,107.94,9069844453
"192","1980-12-31",107.94,141.96,94.23,135.76,12611811111
"193","1981-12-31",135.76,140.32,110.19,122.55,13172044446
"194","1982-12-31",122.55,144.36,102.2,140.64,18284866673
"195","1983-12-30",140.65,172.65,138.08,164.93,23981477793
"196","1984-12-31",164.93,170.41,147.26,167.24,25644033333
"197","1985-12-31",167.2,213.08,163.36,211.28,30566733343
"198","1986-12-31",211.28,254.87,202.6,242.17,39643877798
"199","1987-12-31",242.17,337.89,216.46,247.08,53109399926
"200","1988-12-30",247.1,283.95,240.17,277.72,45386688946
"201","1989-12-29",277.72,360.44,273.81,353.4,46328433336
"202","1990-12-31",353.4,369.78,294.51,330.22,44091922175
"203","1991-12-31",330.2,418.32,309.35,417.09,50376277785
"204","1992-12-31",417.03,442.65,392.41,435.71,57016222190
"205","1993-12-31",435.7,471.29,426.88,466.45,74413544403
"206","1994-12-30",466.51,482.85,435.86,459.27,81609266538
"207","1995-12-29",459.21,622.88,457.2,615.93,96937055894
"208","1996-12-31",615.93,762.12,597.29,740.74,116111900324
"209","1997-12-31",740.74,986.25,729.55,970.43,147765533423
"210","1998-12-31",970.43,1244.93,912.83,1229.23,188233277942
"211","1999-12-31",1229.23,1473.13,1205.46,1469.25,226335755488
"212","2000-12-29",1477.87,1553.1,1254.19,1320.28,289656955257
"213","2001-12-31",1321.62,1383.37,944.07,1148.08,339503087830
"214","2002-12-31",1148.08,1176.97,768.58,879.82,398137267435
"215","2003-12-31",881.69,1112.52,788.9,1111.92,352172573596
"216","2004-12-31",1112.61,1217.33,1060.74,1211.92,322370723221
"217","2005-12-30",1213.43,1275.8,1136.22,1248.29,341598096597
"218","2006-12-29",1252.03,1431.81,1219.29,1418.3,352937805866
"219","2007-12-31",1418.03,1576.09,1364.14,1468.36,319249983232
"220","2008-12-31",1468.36,1471.77,741.02,903.25,327496429536
"221","2009-12-31",903.25,1130.38,666.79,1115.1,296211825248
"222","2010-12-31",1115.1,1262.6,1010.91,1257.64,239831644832
"223","2011-12-30",1257.62,1370.58,1074.77,1257.6,203071269088
"224","2012-12-31",1258.86,1474.51,1258.86,1426.19,147264703472
"225","2013-12-31",1426.19,1849.44,1426.19,1848.36,132656392192
"226","2014-12-31",1845.86,2093.55,1737.92,2058.9,130509835520
"227","2015-12-31",2058.9,2134.72,1867.01,2043.94,151478646320
"228","2016-12-30",2038.2,2087.83,1810.1,2080.73,52698438560
